"LineNumber","Line","Pattern"
"538","        <div className=""flex flex-col min-h-screen bg-slate-50 relative pb-32"">","<div|</div"
"540","            <div>","<div|</div"
"547","            </div>","<div|</div"
"549","            <div className=""flex flex-wrap items-center gap-2"">","<div|</div"
"578","                      <div className=""space-y-4 py-4 pb-12"">","<div|</div"
"579","                        <div className=""grid grid-cols-2 gap-4"">","<div|</div"
"580","                          <div className=""space-y-1"">","<div|</div"
"588","                          </div>","<div|</div"
"589","                          <div className=""space-y-1"">","<div|</div"
"609","                          </div>","<div|</div"
"610","                        </div>","<div|</div"
"612","                        <div className=""space-y-1"">","<div|</div"
"625","                        </div>","<div|</div"
"627","                        <div className=""space-y-1"">","<div|</div"
"635","                        </div>","<div|</div"
"637","                        <div className=""space-y-1"">","<div|</div"
"639","                          <div className=""border border-border rounded-2xl p-4 bg-slate-50 shadow-inner"">","<div|</div"
"646","                          </div>","<div|</div"
"647","                        </div>","<div|</div"
"649","                        <div className=""space-y-1"">","<div|</div"
"651","                          <div className=""flex items-center gap-2"">","<div|</div"
"663","                          </div>","<div|</div"
"665","                            <div className=""mt-4 space-y-2"">","<div|</div"
"667","                              <div className=""w-full aspect-video bg-slate-100 rounded-2xl overflow-hidden border-2 border-dashed border-slate-200 flex items-center justify-center"">","<div|</div"
"673","                              </div>","<div|</div"
"674","                            </div>","<div|</div"
"676","                        </div>","<div|</div"
"677","                      </div>","<div|</div"
"712","                      <div className=""space-y-4 py-4 px-0 sm:px-2"">","<div|</div"
"714","                          <div className=""space-y-1 relative"">","<div|</div"
"716","                            <div className=""relative"">","<div|</div"
"731","                                <div className=""absolute top-full left-0 w-full mt-1 bg-white border border-slate-200 rounded-xl shadow-2xl z-[50] max-h-60 overflow-y-auto"">","<div|</div"
"733","                                    <div className=""py-4 text-center text-slate-500 text-sm"">","<div|</div"
"736","                                    </div>","<div|</div"
"738","                                    <div className=""p-2 space-y-1"">","<div|</div"
"754","                                          <div className=""font-bold"">{u.name}</div>","<div|</div"
"755","                                          <div className={cn(""text-xs"", selectedUserId === u.id ? ""text-white/80"" : ""text-slate-400"")}>","<div|</div"
"757","                                          </div>","<div|</div"
"760","                                    </div>","<div|</div"
"762","                                    <div className=""py-6 px-4 text-center"">","<div|</div"
"766","                                    </div>","<div|</div"
"768","                                </div>","<div|</div"
"770","                            </div>","<div|</div"
"774","                              <div className=""mt-2 p-3 bg-emerald-50 border border-emerald-100 rounded-xl flex items-center justify-between animate-in fade-in slide-in-from-top-1"">","<div|</div"
"775","                                <div className=""text-xs text-emerald-700 font-medium"">","<div|</div"
"777","                                </div>","<div|</div"
"785","                              </div>","<div|</div"
"787","                          </div>","<div|</div"
"789","                        <div className=""grid grid-cols-2 gap-4"">","<div|</div"
"790","                          <div className=""space-y-1"">","<div|</div"
"798","                          </div>","<div|</div"
"799","                          <div className=""space-y-1"">","<div|</div"
"819","                          </div>","<div|</div"
